Juego Fecha Posicion Victorias MonedasTotales MonedasGanadas TiempoJugado(min) Duracion(min) Jugador
Bowling 24-03-2026 305 51 159465 149 100 120 Diego
Warship 26-03-2026 101 60 133332 125 120 120 Diego
Racer(V) 28-03-2026 52 43 94393 228 60 60 Diego
Racer(V) 28-03-2026 681 27 94393 27 60 60 Suso
Golf 28-03-2026 166 31 78104 73 60 60 Diego
Golf 28-03-2026 529 25 78104 22 60 60 Suso
Warship 28-03-2026 764 18 68862 20 60 60 Suso
Warship 28-03-2026 88 34 68862 166 60 60 Diego
Fishing(V) 28-03-2026 27 34 75935 250 60 60 Diego
Fishing(V) 28-03-2026 1133 15 75935 22 60 60 Suso
Bowling 29-03-2026 76 61 112429 272 120 120 Diego
Warship 05-04-2026 78 64 225580 546 120 120 Diego
Warship 05-04-2026 981 35 225580 66 120 120 Suso
Bowling 06-04-2026 565 49 264991 77 75 120 Diego
Racer 07-04-2026 110 71 278438 261 105 120 Diego
Fishing 09-04-2026 35 70 265997 878 110 120 Diego
Fishing 09-04-2026 907 40 265997 78 110 120 Suso
Golf 12-04-2026 80 65 252993 612 120 120 Diego
Golf 12-04-2026 523 50 252993 74 120 120 Suso
Warship 13-04-2026 68 66 237260 574 120 120 Diego
Warship 13-04-2026 785 40 237260 68 110 120 Suso
Bowling 14-04-2026 236 53 215494 202 108 120 Diego
Racer 16-04-2026 371 57 213232 200 120 120 Suso
Fishing 19-04-2026 21 72 181643 855 120 120 Diego
Fishing 19-04-2026 383 49 181643 170 120 120 Suso
Golf 20-04-2026 751 39 194114 56 110 120 Suso
Warship 21-04-2026 704 37 170139 49 110 120 Suso
Bowling 23-04-2026 372 48 160625 150 120 120 Suso
Warship 25-04-2026 110 34 81809 76 60 60 Diego
Warship 25-04-2026 490 24 81809 76 60 60 Suso
Fishing(V) 25-04-2026 71 31 80840 195 60 60 Diego
Racer(V) 25-04-2026 69 42 97422 235 60 60 Diego
Racer(V) 25-04-2026 246 34 97422 91 60 60 Suso
Bowling 25-04-2026 400 26 78533 73 55 60 Diego
Bowling 25-04-2026 568 23 78533 23 60 60 Suso
Golf 25-04-2026 61 36 81968 198 60 60 Diego
Golf 25-04-2026 299 28 81968 76 60 60 Suso
Racer 26-04-2026 62 72 126751 306 120 120 Diego
Racer 26-04-2026 719 38 126751 37 105 120 Suso
Fishing 27-04-2026 865 31 127902 37 90 120 Suso
Golf 28-04-2026 365 44 115043 108 78 120 Diego
Golf 28-04-2026 306 46 115043 108 110 120 Suso
Warship 30-04-2026 24 67 79481 374 120 120 Diego
Bowling 03-05-2026 115 61 247080 232 120 120 Diego
Bowling 03-05-2026 702 42 247080 72 105 120 Suso
Racer 04-05-2026 78 73 266138 644 120 120 Diego
Racer 04-05-2026 510 55 266138 78 120 120 Suso
Fishing 05-05-2026 20 74 254732 1199 110 120 Diego
Fishing 05-05-2026 1188 37 254732 74 90 120 Suso
Warship 10-05-2026 29 72 230116 759 120 120 Diego
Warship 10-05-2026 554 45 230116 67 120 120 Suso
Bowling 11-05-2026 388 51 238182 223 120 120 Suso
Racer 12-05-2026 207 61 239910 225 120 120 Suso
Fishing 14-05-2026 6 77 228011 1073 120 120 Diego
Fishing 14-05-2026 502 47 228011 66 120 120 Suso
Golf 17-05-2026 93 62 204118 494 120 120 Diego
Golf 17-05-2026 413 48 204118 191 120 120 Suso
Warship 18-05-2026 79 63 210585 509 102 120 Diego
Warship 18-05-2026 457 46 210585 197 120 120 Suso
Bowling 19-05-2026 114 60 205461 192 120 120 Suso
Racer 21-05-2026 97 70 193036 467 102 120 Diego
Racer 21-05-2026 269 57 193036 181 120 120 Suso
Fishing 24-05-2026 348 47 158312 148 120 120 Suso
Golf 25-05-2026 416 47 169703 159 120 120 Suso
Warship 26-05-2026 975 28 145140 42 90 120 Suso
Bowling 30-05-2026 245 27 66657 62 60 60 Suso
Fishing(V) 30-05-2026 795 16 64200 18 60 60 Suso
Fishing(V) 30-05-2026 25 34 64200 302 NA 60 NA
Fishing(V) 30-05-2026 50 32 64200 211 NA 60 NA
Fishing(V) 30-05-2026 100 29 64200 155 NA 60 NA
Fishing(V) 30-05-2026 500 21 64200 60 NA 60 NA
Golf 30-05-2026 452 25 77482 72 60 60 Suso
Warship 30-05-2026 888 16 72334 21 60 60 Suso
Racer 31-05-2026 1062 26 109592 32 24 120 Diego
Fishing 01-06-2026 25 71 229392 1080 NA 120 NA
Fishing 01-06-2026 50 67 229392 757 NA 120 NA
Fishing 01-06-2026 100 61 229392 555 NA 120 NA
Fishing 01-06-2026 500 48 229392 215 NA 120 NA
Golf 02-06-2026 19 72 231725 1091 110 120 Diego
Golf 02-06-2026 410 50 231725 217 120 120 Suso
Golf 02-06-2026 25 71 231725 1091 NA 120 NA
Golf 02-06-2026 50 67 231725 764 NA 120 NA
Golf 02-06-2026 100 62 231725 560 NA 120 NA
Golf 02-06-2026 500 50 231725 217 NA 120 NA
Warship 04-06-2026 35 69 221587 731 120 120 Diego
Warship 04-06-2026 1146 31 221587 65 80 120 Suso
Warship 04-06-2026 25 72 221587 1043 NA 120 NA
Warship 04-06-2026 50 67 221587 731 NA 120 NA
Warship 04-06-2026 100 61 221587 536 NA 120 NA
Warship 04-06-2026 500 45 221587 208 NA 120 NA
Bowling 07-06-2026 25 72 222978 1050 NA 120 NA
Bowling 07-06-2026 41 68 222978 736 120 120 Diego
Bowling 07-06-2026 50 67 222978 736 NA 120 NA
Bowling 07-06-2026 100 63 222978 539 NA 120 NA
Bowling 07-06-2026 462 50 222978 209 NA 120 NA
Bowling 07-06-2026 500 49 222978 209 120 120 Suso
Racer 08-06-2026 25 82 251293 1183 NA 120 NA
Racer 08-06-2026 50 78 251293 829 NA 120 NA
Racer 08-06-2026 100 73 251293 608 NA 120 NA
Racer 08-06-2026 500 55 251293 235 NA 120 NA
Fishing 09-06-2026 4 81 238947 1125 120 120 Diego
Fishing 09-06-2026 25 72 238947 1125 NA 120 NA
Fishing 09-06-2026 50 67 238947 788 NA 120 NA
Fishing 09-06-2026 100 62 238947 578 NA 120 NA
Fishing 09-06-2026 500 49 238947 224 NA 120 NA
Fishing 09-06-2026 543 47 238947 70 120 120 Suso
Golf 11-06-2026 25 71 218597 1029 NA 120 NA
Golf 11-06-2026 33 70 218597 721 110 120 Diego
Golf 11-06-2026 50 67 218597 721 NA 120 NA
Golf 11-06-2026 100 63 218597 529 NA 120 NA
Golf 11-06-2026 500 47 218597 205 NA 120 NA
Golf 11-06-2026 548 45 218597 64 120 120 Suso
Warship 14-06-2026 18 75 191385 901 120 120 Diego
Warship 14-06-2026 25 74 191385 901 NA 120 NA
Warship 14-06-2026 50 67 191385 631 NA 120 NA
Warship 14-06-2026 100 62 191385 463 NA 120 NA
Warship 14-06-2026 446 47 191385 179 120 120 Suso
Warship 14-06-2026 500 45 191385 179 NA 120 NA
Bowling 15-06-2026 25 70 214266 1009 NA 120 NA
Bowling 15-06-2026 50 66 214266 707 NA 120 NA
Bowling 15-06-2026 100 61 214266 518 NA 120 NA
Bowling 15-06-2026 121 60 214266 201 120 120 Suso
Bowling 15-06-2026 500 48 214266 201 NA 120 NA
Racer 16-06-2026 25 83 210004 989 NA 120 NA
Racer 16-06-2026 50 76 210004 693 NA 120 NA
Racer 16-06-2026 100 71 210004 508 NA 120 NA
Racer 16-06-2026 452 55 210004 197 120 120 Suso
Racer 16-06-2026 500 53 210004 197 NA 120 NA
Fishing 18-06-2026 25 70 184194 867 NA 120 NA
Fishing 18-06-2026 50 63 184194 608 NA 120 NA
Fishing 18-06-2026 100 59 184194 445 NA 120 NA
Fishing 18-06-2026 213 51 184194 172 120 120 Suso
